               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10875,            0.033082,            0.030055,            0.014027,             0.50833,            0.043101,            0.012569,            0.063317,            0.021946,            0.020044,              0.0023,              0.0023,              0.0793
                   1,            0.072371,            0.031798,             0.01792,             0.58861,             0.26667,             0.14992,            0.050947,            0.063436,            0.014236,             0.01462,           0.0046225,           0.0046225,            0.057622
                   2,            0.068244,             0.02763,            0.011948,             0.34865,             0.53333,             0.40763,              0.1461,            0.051251,            0.011764,           0.0071048,           0.0068657,           0.0068657,            0.035866
                   3,            0.067714,            0.025078,           0.0080992,             0.34687,             0.46667,             0.37063,             0.13816,            0.053024,            0.010904,           0.0037501,           0.0090297,           0.0090297,             0.01403
                   4,            0.066957,            0.023039,           0.0064055,             0.46266,             0.70291,             0.59002,             0.27794,            0.045111,           0.0086556,           0.0020591,             0.00934,             0.00934,             0.00934
                   5,            0.059203,            0.022416,           0.0061035,             0.52671,             0.72712,             0.63396,             0.27779,            0.040416,           0.0098166,           0.0021382,             0.00934,             0.00934,             0.00934
                   6,            0.057085,            0.021197,           0.0046981,             0.68015,             0.70991,             0.80132,             0.46209,            0.034678,           0.0093417,           0.0011427,            0.009175,            0.009175,            0.009175
                   7,            0.050576,             0.02112,           0.0045074,             0.58143,             0.76667,             0.67314,             0.31006,            0.034914,           0.0078304,           0.0021729,             0.00901,             0.00901,             0.00901
                   8,             0.04852,            0.020376,           0.0034869,             0.72992,             0.76727,              0.7911,             0.44558,            0.031001,            0.007823,           0.0056144,            0.008845,            0.008845,            0.008845
                   9,            0.043109,            0.019362,           0.0028482,             0.93813,             0.77255,             0.93855,             0.59794,            0.030437,           0.0071707,          0.00092719,             0.00868,             0.00868,             0.00868
